split,action_type,count,baseline_top1,final_top1,delta_top1,final_top3,final_mrr,model_fallback_rate
time_holdout,ability,2194,0.906563354603464,0.8874202370100274,-0.019143117593436676,0.95897903372835,0.9272800277813952,0.17821330902461258
time_holdout,attack,2229,0.4961866307761328,0.6155226558995065,0.11933602512337371,0.9174517720951099,0.7696766097169866,0.614176760879318
time_holdout,bench,2321,0.6742783283067644,0.6316242998707454,-0.042654028436018954,0.9392503231365791,0.7836069996523148,0.6596294700560104
time_holdout,boss,284,0.1056338028169014,0.04929577464788732,-0.056338028169014086,0.2676056338028169,0.2632848860841818,0.8873239436619719
time_holdout,end,720,0.22777777777777777,0.4375,0.20972222222222223,0.7902777777777777,0.6306107774007993,0.37222222222222223
time_holdout,energy,1931,0.3671672708441222,0.3588814085965821,-0.008285862247540132,0.619368203003625,0.5287586793874179,0.8363542206110823
time_holdout,evolve,3736,0.4617237687366167,0.6191113490364025,0.15738758029978583,0.895610278372591,0.7638331050938117,0.8546573875802997
time_holdout,hammer,506,0.8003952569169961,0.41304347826086957,-0.3873517786561265,0.8122529644268774,0.6234785745655311,0.8320158102766798
time_holdout,retreat,337,0.09792284866468842,0.04154302670623145,-0.05637982195845697,0.3887240356083086,0.27660064105732957,0.6528189910979229
time_holdout,trainer,3831,0.12137823022709475,0.33411641868963715,0.2127381884625424,0.696945967110415,0.5457522932087244,0.770817019055077
time_holdout,xerosic,503,0.4194831013916501,0.22266401590457258,-0.19681908548707755,0.6163021868787276,0.4690902923010279,0.8866799204771372
team_holdout,ability,1273,0.819324430479183,0.8201099764336214,0.0007855459544383603,0.9457973291437549,0.8882947418296986,0.24666142969363708
team_holdout,attack,1500,0.48733333333333334,0.6166666666666667,0.12933333333333336,0.9673333333333334,0.7847896825396826,0.5026666666666667
team_holdout,bench,1476,0.6002710027100271,0.6531165311653117,0.05284552845528456,0.9302168021680217,0.7917715095052494,0.6307588075880759
team_holdout,boss,226,0.061946902654867256,0.035398230088495575,-0.02654867256637168,0.23893805309734514,0.2520130189377977,0.8495575221238938
team_holdout,end,416,0.16826923076923078,0.2644230769230769,0.09615384615384615,0.7932692307692307,0.5419929896492396,0.37740384615384615
team_holdout,energy,1413,0.2625619249823071,0.2795470629865534,0.01698513800424628,0.5859872611464968,0.4766158671010538,0.7537154989384289
team_holdout,evolve,2488,0.35731511254019294,0.5229099678456591,0.1655948553054662,0.8713826366559485,0.7033759667081967,0.8307877813504824
team_holdout,hammer,310,0.7870967741935484,0.4,-0.3870967741935484,0.864516129032258,0.6331490015360983,0.7580645161290323
team_holdout,retreat,172,0.12209302325581395,0.06395348837209303,-0.05813953488372092,0.4941860465116279,0.32671641988502453,0.48255813953488375
team_holdout,trainer,2921,0.09619993153029785,0.3019513865114687,0.20575145498117084,0.6816158849709004,0.524105134501546,0.7161930845600821
team_holdout,xerosic,324,0.16666666666666666,0.15432098765432098,-0.012345679012345678,0.6141975308641975,0.42219549997327777,0.8148148148148148
submission_holdout,ability,1846,0.9393282773564464,0.9761646803900325,0.03683640303358604,0.9940411700975081,0.9854881425303961,0.050920910075839654
submission_holdout,attack,855,0.45614035087719296,0.5380116959064327,0.08187134502923976,0.8690058479532163,0.7065845168476748,0.7286549707602339
submission_holdout,bench,1860,0.5446236559139785,0.2833333333333333,-0.2612903225806452,0.9586021505376344,0.578602848764139,0.8661290322580645
submission_holdout,boss,137,0.08759124087591241,0.021897810218978103,-0.06569343065693431,0.24087591240875914,0.23643944553133048,0.9416058394160584
submission_holdout,end,775,0.06064516129032258,0.17935483870967742,0.11870967741935484,0.28258064516129033,0.368417865288833,0.7729032258064517
submission_holdout,energy,707,0.45403111739745405,0.44695898161244696,-0.007072135785007094,0.635077793493635,0.5832060086500858,0.8811881188118812
submission_holdout,evolve,2423,0.6900536524969046,0.8064382996285596,0.11638464713165497,0.9508873297565003,0.8804356726870141,0.9385059843169624
submission_holdout,hammer,166,0.9337349397590361,0.46987951807228917,-0.4638554216867469,0.8373493975903614,0.6524239816408491,0.9698795180722891
submission_holdout,retreat,97,0.08247422680412371,0.05154639175257732,-0.030927835051546393,0.29896907216494845,0.24506709347521966,0.7938144329896907
submission_holdout,trainer,1237,0.15036378334680678,0.38641875505254647,0.2360549717057397,0.7008892481810832,0.5751591467076284,0.8286176232821342
submission_holdout,xerosic,172,0.5755813953488372,0.3546511627906977,-0.22093023255813954,0.7790697674418605,0.5792105020302695,0.9534883720930233
