version,submission_id,episode_id,create_time,seat,opponent_submission,opponent_rating,our_rating_before,our_rating_after,won,went_first,opponent_family,opponent_deck_hash,exact_mirror,wall_family,turns,our_turns,our_prize_left,opp_prize_left,our_deck_left,opp_deck_left,our_bodies_left,board_out,deck_out,first_ready_turn,first_shadow_turn,first_attack_turn,opp_first_attack_turn,own_first_shadow_turn,own_first_ready_turn,gate_violation,shadow_attacks,attacks,grim_evolutions,rare_candies,adrena_brains,froslass_actions,froslass_true_evolutions,stamps,bosses,lillies,our_decisions,our_multi_pick,our_ends,our_overage_start,our_overage_end,our_overage_used,opp_overage_used,odd_status,steps
v22_a,55479857,92626895,2026-08-13T11:03:44.146264500Z,0,55470353,891.9153,887.1202,868.0136,0,first,Alakazam,cc38cb450b86770a,0,0,14,7,3,1,13,10,5,0,0,9,9,9,4,5,5,0,3,3,2,1,4,2,1,2,1,2,101,3,4,600.0,588.7200800000004,11.28,25.371,,181
v22_a,55479857,92627855,2026-08-13T11:07:42.587843500Z,0,54336897,867.9465,868.0136,886.2795,1,first,Mega Lucario,a6535bbccddb9182,0,0,11,6,1,3,22,17,6,0,0,5,5,5,2,3,3,0,4,4,2,0,10,5,1,1,0,2,92,3,2,600.0,587.9042470000006,12.096,2.253,,154
v22_a,55479857,92628804,2026-08-13T11:11:41.874145900Z,0,54972308,782.4416,886.2795,897.6777,1,first,Archaludon,ebd4dbb270dce6a2,0,0,15,8,1,3,19,16,6,0,0,5,5,5,6,3,3,0,6,6,3,1,5,1,0,1,0,1,107,4,2,600.0,589.9210320000002,10.079,2.255,,174
v22_a,55479857,92629750,2026-08-13T11:15:42.148351800Z,0,55422703,961.1291,897.6777,917.846,1,first,Mega Lopunny / Froslass,a7ee29914c1dce64,0,0,17,9,3,1,10,19,6,0,0,3,5,5,4,3,2,1,7,7,3,2,12,2,1,1,0,1,148,7,2,600.0,581.2877680000003,18.712,24.548,,250
v22_a,55479857,92630690,2026-08-13T11:19:41.638047Z,1,55469191,929.7572,917.846,933.7853,1,second,Alakazam,cc38cb450b86770a,0,0,10,5,2,3,18,13,6,0,0,6,6,2,3,3,3,0,3,4,2,1,4,6,2,2,0,1,78,6,1,600.0,588.4946569999998,11.505,8.884,,151
v22_a,55479857,92631643,2026-08-13T11:23:44.642096700Z,0,55354124,535.1242,933.7853,935.3421,1,first,Dragapult,ca9c3cd8f2088898,0,0,11,6,1,3,21,15,6,0,0,5,7,3,2,4,3,1,3,5,2,0,9,1,1,0,1,2,97,5,1,600.0,586.6008629999998,13.399,3.417,,191
v22_a,55479857,92632577,2026-08-13T11:27:41.933135100Z,1,55459465,918.0973,935.3421,920.1058,0,second,Grimmsnarl (mirror),21c3f20980827cb2,0,0,13,6,1,2,19,12,4,0,0,6,6,6,5,3,3,0,4,4,2,0,8,2,0,1,1,3,109,4,2,600.0,589.0003039999998,11.0,10.322,,218
v22_a,55479857,92633524,2026-08-13T11:31:43.412999600Z,0,55473206,887.2068,920.1058,932.1288,1,first,Grimmsnarl (mirror),aca0046b8db915cc,0,0,13,7,1,6,31,24,6,0,0,3,3,3,,2,2,0,6,6,1,1,3,0,0,1,0,2,74,1,1,600.0,589.3383359999998,10.662,29.841,,144
v22_a,55479857,92634432,2026-08-13T11:35:41.887561700Z,0,55478544,826.8889,932.1288,940.643,1,first,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,13,7,1,1,23,18,5,0,0,5,5,5,4,3,3,0,5,5,3,0,10,0,0,0,1,0,116,4,2,600.0,585.6566520000001,14.343,14.252,,212
v22_a,55479857,92635367,2026-08-13T11:39:41.719188100Z,0,55480054,848.1306,912.7754,921.5837,1,first,Alakazam,cc38cb450b86770a,0,0,11,6,1,3,9,25,5,0,0,3,5,5,4,3,2,1,4,4,2,3,3,2,1,1,2,2,90,7,2,600.0,587.8268759999996,12.173,415.593,,164
v22_a,55479857,92635387,2026-08-13T11:39:41.739379200Z,1,55480275,883.7502,940.643,925.8188,0,second,Alakazam,a9ef3854232dfae5,0,0,11,5,3,2,20,2,5,0,0,4,4,4,7,2,2,0,4,4,3,1,0,2,1,0,1,3,70,3,1,600.0,589.4584449999998,10.542,3.433,,165
v22_a,55479857,92636318,2026-08-13T11:43:43.701193600Z,1,55457116,902.0468,925.8188,912.7754,0,second,Alakazam,cc38cb450b86770a,0,0,11,5,2,1,19,20,5,0,0,4,4,4,3,2,2,0,4,4,3,1,1,2,1,1,1,1,81,3,1,600.0,589.648397,10.352,22.27,,165
v22_a,55479857,92637253,2026-08-13T11:47:43.677579400Z,0,55462060,984.313,921.5837,935.2875,1,first,other: Hydrapple ex,b97e551a32cdc3a8,0,0,10,5,2,5,25,21,6,0,0,9,9,9,8,5,5,0,1,1,1,0,7,5,2,1,0,3,78,8,4,600.0,588.9943039999998,11.006,13.985,,142
v22_a,55479857,92638214,2026-08-13T11:51:41.720646300Z,1,55236172,889.4513,947.7755,955.9376,1,second,Kangaskhan / Crustle,1eda048ea3581634,0,1,14,7,3,3,9,30,6,0,0,6,6,2,5,3,3,0,2,7,1,0,7,4,2,1,1,2,105,7,0,600.0,586.6246860000003,13.375,282.85,,150
v22_a,55479857,92639143,2026-08-13T11:55:41.830635300Z,1,55372662,982.3497,935.2875,947.7755,1,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,12,6,1,3,18,18,5,0,0,4,4,4,3,2,2,0,5,5,3,1,9,0,0,2,1,3,113,5,1,600.0,585.8740159999996,14.126,5.628,,229
v22_a,55479857,92640083,2026-08-13T11:59:42.205090900Z,1,54974347,287.3067,955.9376,955.989,1,second,other: Mega Abomasnow ex,7e7bca6783abe61e,0,0,4,2,6,6,35,42,4,0,0,4,4,2,3,2,2,0,1,2,1,1,0,1,1,0,0,0,25,2,0,600.0,594.7918450000001,5.208,0.272,,34
v22_a,55479857,92641024,2026-08-13T12:03:45.528828200Z,1,55352918,938.5691,955.989,965.2463,1,second,Kangaskhan / Crustle,d6633d3760231fe7,0,1,12,6,4,3,18,35,5,0,0,4,4,4,3,2,2,0,3,4,1,1,7,4,2,2,1,2,95,2,2,600.0,587.962686,12.037,1.273,,130
v22_a,55479857,92641973,2026-08-13T12:07:42.536088800Z,1,55395505,912.193,965.2463,953.8129,0,second,Alakazam,cc38cb450b86770a,0,0,17,8,2,1,14,11,5,0,0,4,4,4,7,2,2,0,3,3,1,3,7,3,1,2,1,3,105,2,5,600.0,586.7132960000004,13.287,6.143,,199
v22_a,55479857,92642829,2026-08-13T12:11:42.795725700Z,0,55422691,917.114,953.8129,961.8219,1,first,Alakazam,cc38cb450b86770a,0,0,13,7,1,1,8,9,5,0,0,7,7,5,6,4,4,0,3,5,3,2,5,6,2,1,0,4,108,4,2,600.0,585.7709060000003,14.229,24.151,,181
v22_a,55479857,92643843,2026-08-13T12:15:41.866115300Z,0,55468638,1018.8358,954.7254,965.4633,1,first,Dragapult,e5c9f2b28c879f69,0,0,15,8,2,3,16,4,5,0,0,5,5,5,4,3,3,0,6,6,3,0,7,0,0,2,1,1,127,5,2,600.0,586.9100530000001,13.09,543.883,,281
