matchup,game,seat0,seat1,winner,result,error_agent,error_type,illegal_agent,elapsed_ms,moves_seat0,moves_seat1,time_seat0_ms,time_seat1_ms
alakazam741_v7__vs__alakazam741_v2,33,alakazam741_v7,alakazam741_v2,alakazam741_v2,win,,,,94.77239998523146,41,69,19.93329997640103,23.260499991010875
alakazam741_v7__vs__alakazam741_v2,34,alakazam741_v2,alakazam741_v7,alakazam741_v2,win,,,,50.1077999942936,38,17,15.33600001130253,5.555799871217459
alakazam741_v7__vs__alakazam741_v2,35,alakazam741_v7,alakazam741_v2,alakazam741_v7,win,,,,26.845899992622435,23,9,7.631400017999113,5.098000110592693
alakazam741_v7__vs__alakazam741_v2,36,alakazam741_v2,alakazam741_v7,alakazam741_v2,win,,,,107.2273999452591,69,41,31.861700117588043,19.477799942251295
alakazam741_v7__vs__alakazam741_v2,37,alakazam741_v7,alakazam741_v2,alakazam741_v7,win,,,,44.146600004751235,26,28,11.955600057262927,7.3238000040873885
alakazam741_v7__vs__alakazam741_v2,38,alakazam741_v2,alakazam741_v7,alakazam741_v7,win,,,,185.94449997181073,83,84,36.96339967427775,61.003899900242686
alakazam741_v7__vs__alakazam741_v2,39,alakazam741_v7,alakazam741_v2,alakazam741_v2,win,,,,195.73809998109937,74,85,45.6608998356387,53.08529990725219
alakazam741_v7__vs__alakazam741_v2,40,alakazam741_v2,alakazam741_v7,alakazam741_v2,win,,,,211.36750001460314,90,83,53.924999898299575,61.24609994003549
alakazam741_v7__vs__alakazam741_v3,1,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,220.39759997278452,70,81,48.4331002808176,60.49420003546402
alakazam741_v7__vs__alakazam741_v3,2,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,194.01650002691895,62,62,57.16179998125881,44.54900021664798
alakazam741_v7__vs__alakazam741_v3,3,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,205.0617000204511,77,71,47.45470004854724,58.44820017227903
alakazam741_v7__vs__alakazam741_v3,4,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,197.08490004995838,72,59,70.02009998541325,37.92380017694086
alakazam741_v7__vs__alakazam741_v3,5,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,255.4564000456594,89,88,69.59189980989322,61.34679995011538
alakazam741_v7__vs__alakazam741_v3,6,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,139.02899995446205,53,54,33.623100141994655,32.27059997152537
alakazam741_v7__vs__alakazam741_v3,7,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,235.87420000694692,81,92,55.240800022147596,67.50070030102506
alakazam741_v7__vs__alakazam741_v3,8,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,139.92420001886785,71,49,50.57179986033589,22.16649998445064
alakazam741_v7__vs__alakazam741_v3,9,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,217.97480003442615,81,74,64.21509978827089,45.30509980395436
alakazam741_v7__vs__alakazam741_v3,10,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,158.39180001057684,67,48,45.18119979184121,33.975600090343505
alakazam741_v7__vs__alakazam741_v3,11,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,156.32040001219139,44,83,23.78169959411025,50.439000071492046
alakazam741_v7__vs__alakazam741_v3,12,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,26.426700002048165,15,7,6.72199996188283,3.815700067207217
alakazam741_v7__vs__alakazam741_v3,13,alakazam741_v7,alakazam741_v3,alakazam741_v7,win,,,,56.510800030082464,28,12,15.507500153034925,4.518300062045455
alakazam741_v7__vs__alakazam741_v3,14,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,268.4827000484802,81,82,77.61899975594133,65.87950035464019
alakazam741_v7__vs__alakazam741_v3,15,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,177.0299999625422,62,61,41.89369973028079,46.09509988222271
alakazam741_v7__vs__alakazam741_v3,16,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,239.3199999933131,77,66,80.84939990658313,56.84759980067611
alakazam741_v7__vs__alakazam741_v3,17,alakazam741_v7,alakazam741_v3,alakazam741_v7,win,,,,264.4097000011243,86,82,74.39619995420799,69.10130014875904
alakazam741_v7__vs__alakazam741_v3,18,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,66.46339996950701,33,19,21.07270003762096,10.713699739426374
alakazam741_v7__vs__alakazam741_v3,19,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,114.22569997375831,48,50,23.73059990350157,30.22620000410825
alakazam741_v7__vs__alakazam741_v3,20,alakazam741_v3,alakazam741_v7,alakazam741_v7,win,,,,230.50130001502112,86,83,61.58249999862164,55.56580057600513
alakazam741_v7__vs__alakazam741_v3,21,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,254.29980002809316,87,95,59.13099995814264,81.55019977129996
alakazam741_v7__vs__alakazam741_v3,22,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,161.69040004024282,75,64,57.16449988540262,26.677000103518367
alakazam741_v7__vs__alakazam741_v3,23,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,230.25600000983104,71,86,45.3354999772273,78.29869992565364
alakazam741_v7__vs__alakazam741_v3,24,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,212.93010003864765,82,76,60.614200367126614,52.780400204937905
alakazam741_v7__vs__alakazam741_v3,25,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,168.7452999758534,80,55,42.29440039489418,44.62249972857535
alakazam741_v7__vs__alakazam741_v3,26,alakazam741_v3,alakazam741_v7,alakazam741_v7,win,,,,204.41499998560175,80,63,52.418499311897904,59.868599695619196
alakazam741_v7__vs__alakazam741_v3,27,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,291.31510003935546,86,86,77.25409977138042,93.54700008407235
alakazam741_v7__vs__alakazam741_v3,28,alakazam741_v3,alakazam741_v7,alakazam741_v7,win,,,,238.92410000553355,94,67,61.95370008936152,58.80360020091757
alakazam741_v7__vs__alakazam741_v3,29,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,151.96540002943948,49,56,31.657100073061883,42.85709990654141
alakazam741_v7__vs__alakazam741_v3,30,alakazam741_v3,alakazam741_v7,alakazam741_v7,win,,,,134.26790002267808,50,56,26.123200135771185,42.54739999305457
alakazam741_v7__vs__alakazam741_v3,31,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,125.92960003530607,38,66,20.198900252580643,45.40710005676374
alakazam741_v7__vs__alakazam741_v3,32,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,141.5609999676235,72,60,40.04680039361119,31.7613001097925
alakazam741_v7__vs__alakazam741_v3,33,alakazam741_v7,alakazam741_v3,alakazam741_v7,win,,,,11.13130000885576,14,2,3.992500132881105,0.5329999839887023
alakazam741_v7__vs__alakazam741_v3,34,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,110.52099999506027,47,40,39.31869997177273,19.67270008753985
alakazam741_v7__vs__alakazam741_v3,35,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,187.88439995842054,61,77,36.25159978400916,59.056299563962966
alakazam741_v7__vs__alakazam741_v3,36,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,226.62429994670674,71,87,45.441900088917464,64.4100999343209
alakazam741_v7__vs__alakazam741_v3,37,alakazam741_v7,alakazam741_v3,alakazam741_v7,win,,,,12.887699995189905,11,4,4.494299937505275,0.9460000437684357
alakazam741_v7__vs__alakazam741_v3,38,alakazam741_v3,alakazam741_v7,alakazam741_v7,win,,,,124.5234000380151,61,29,39.54159974819049,18.348100129514933
alakazam741_v7__vs__alakazam741_v3,39,alakazam741_v7,alakazam741_v3,alakazam741_v3,win,,,,129.34869999298826,44,74,24.195600068196654,38.68619992863387
alakazam741_v7__vs__alakazam741_v3,40,alakazam741_v3,alakazam741_v7,alakazam741_v3,win,,,,102.39620000356808,59,30,40.06349993869662,14.48539987904951
alakazam741_v2__vs__alakazam741_v3,1,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,202.85509998211637,82,97,43.42929978156462,62.50479957088828
alakazam741_v2__vs__alakazam741_v3,2,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,159.66770000522956,80,61,54.064999567344785,28.84620026452467
alakazam741_v2__vs__alakazam741_v3,3,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,188.43209999613464,80,69,49.89920003572479,41.91479959990829
alakazam741_v2__vs__alakazam741_v3,4,alakazam741_v3,alakazam741_v2,alakazam741_v3,win,,,,175.6218999507837,61,78,36.156600108370185,45.81739992136136
alakazam741_v2__vs__alakazam741_v3,5,alakazam741_v2,alakazam741_v3,alakazam741_v2,win,,,,225.02000001259148,89,83,52.660700341220945,56.933400279376656
alakazam741_v2__vs__alakazam741_v3,6,alakazam741_v3,alakazam741_v2,alakazam741_v2,win,,,,27.060499996878207,13,11,6.27170002553612,4.936299927067012
alakazam741_v2__vs__alakazam741_v3,7,alakazam741_v2,alakazam741_v3,alakazam741_v3,win,,,,216.6467999923043,99,86,53.12699993373826,52.616200351621956
