matchup,agent_a,agent_b,games,wins_a,wins_b,draws,errors_a,errors_b,illegal_a,illegal_b,first_seat_wins_a,first_seat_wins_b,moves_a,moves_b,time_a_ms,time_b_ms,win_rate_a_ex_draws,avg_ms_a_per_move,avg_ms_b_per_move
alakazam741_v7__vs__alakazam741_v2,alakazam741_v7,alakazam741_v2,40,13,27,0,0,0,0,0,9,16,2195,2776,954.7854003030807,1050.5499988794327,0.325,0.43498195913579984,0.37844020132544404
alakazam741_v7__vs__alakazam741_v3,alakazam741_v7,alakazam741_v3,40,9,31,0,0,0,0,0,4,15,2308,2603,1562.11270095082,1946.0691987769678,0.225,0.6768252603773051,0.7476255085581898
alakazam741_v2__vs__alakazam741_v3,alakazam741_v2,alakazam741_v3,40,11,29,0,0,0,0,0,7,16,2938,2583,1610.623299900908,1676.2565984972753,0.275,0.5482039822671573,0.6489572584193865
