adrena_brains,attacks,bosses,create_time,episode_id,first_attack_turn,first_ready_turn,first_shadow_turn,froslass_evolves,grim_evolutions,opp_deck_left,opp_first_attack_turn,opp_prize_left,opponent_deck_hash,opponent_family,opponent_rating,opponent_submission,our_bodies_left,our_deck_left,our_prize_left,our_rating,our_turns,own_first_ready_turn,own_first_shadow_turn,rare_candies,seat,shadow_attacks,stamps,turns,version,went_first,won
1,5,1,2026-08-12T02:51:10.925133600Z,92177628,3,5,5,2,2,17,6,1,9714ab5c3996f6cc,Grimmsnarl (mirror),853.1934,55436486,2,30,3,866.9696,6,3,3,0,0,3,0,12,v19,True,False
3,2,1,2026-08-12T02:55:35.522204600Z,92178567,3,3,3,7,2,27,4,1,0dede7cb8026e473,Ogerpon,821.5342,55351349,3,26,4,855.4193,5,2,2,2,0,2,0,10,v19,True,False
7,5,0,2026-08-12T02:59:33.919381Z,92179523,5,5,5,1,2,21,4,3,9714ab5c3996f6cc,Grimmsnarl (mirror),874.3756,55417150,5,17,1,843.4929,7,3,3,2,0,5,2,13,v19,True,True
7,5,1,2026-08-12T03:03:18.524163600Z,92180443,2,4,4,8,2,32,9,4,1425edcfd4319da5,other: Cynthia's Garchomp ex,876.1628,55330516,6,20,2,854.8185,5,2,2,1,1,4,1,10,v19,False,True
12,4,1,2026-08-12T03:07:12.049028200Z,92181383,5,5,5,0,2,21,4,5,9714ab5c3996f6cc,Grimmsnarl (mirror),888.615,55437925,6,27,1,865.3957,6,3,3,0,0,4,1,11,v19,True,True
7,2,0,2026-08-12T03:11:06.150904500Z,92182320,8,8,8,2,1,32,7,5,606c51d236295fcd,Ogerpon,520.5383,54824883,6,22,4,875.6304,5,4,4,0,1,2,0,10,v19,False,True
3,4,0,2026-08-12T03:15:36.399874600Z,92183257,6,6,6,5,3,22,7,1,3edaa824fcc4d093,Dragapult,912.7642,55441775,3,17,2,876.9554,6,3,3,0,1,4,1,13,v19,False,False
6,4,0,2026-08-12T03:19:36.616080200Z,92184195,5,5,5,0,3,21,4,5,2cd6d97526908dbb,Grimmsnarl (mirror),804.4432,55437543,6,14,2,869.0665,6,3,3,1,0,4,1,11,v19,True,True
11,6,3,2026-08-12T03:23:36.246205400Z,92185184,4,6,6,6,3,8,3,2,a7ee29914c1dce64,Mega Lopunny / Froslass,870.3213,55440107,6,4,3,875.8766,7,3,3,0,1,5,2,14,v19,False,True
5,3,1,2026-08-12T03:27:36.409071500Z,92186068,7,5,7,1,2,20,6,1,9714ab5c3996f6cc,Grimmsnarl (mirror),814.3799,55378431,4,19,3,884.2137,7,3,4,1,0,3,1,14,v19,True,False
4,6,1,2026-08-12T03:31:36.130627900Z,92186979,3,3,3,0,3,16,6,2,9714ab5c3996f6cc,Grimmsnarl (mirror),754.6949,55446332,3,18,2,880.655,7,2,2,1,0,6,0,13,v19,True,True
5,5,0,2026-08-12T03:31:36.222178200Z,92187042,2,6,6,11,2,12,3,1,a665414222aea434,Alakazam,836.673,55442940,5,12,1,873.7309,6,3,3,3,1,3,1,12,v19,False,True
3,4,2,2026-08-12T03:35:36.095717Z,92187796,6,6,6,0,3,14,3,1,05f854e1b3b3ba0f,Mega Lucario,730.0053,55447139,5,19,2,885.2389,7,3,3,0,1,4,1,14,v19,False,True
