rank,team_name,submission_id,score,archetype,deck_hash,deck_source
29,NguyenThanhNhan,55156168,1080.3,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
30,zhangshuosc,55163869,1077.6,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
30,Petit Canard,55251179,1056.9,Teal Mask Ogerpon ex,97df7a2a423da1d8,episode_seat
31,JZ,55094113,1055.3,Marnie's Grimmsnarl ex / Munkidori,21c3f20980827cb2,episode_seat
31,Dominic Peel,55167739,1073.9,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
32,szlachetny snieg,55153272,1073.8,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
32,KawattaTaido,55245964,1053.3,Marnie's Grimmsnarl ex / Munkidori,21c3f20980827cb2,episode_seat
33,Jack,55126075,1072.1,Dragapult ex / Fezandipiti ex,202ee2cec6cbe8b4,submission_replay_index
33,DavidFreelan,55229375,1053.2,Mega Lopunny ex / Mega Froslass ex,a7ee29914c1dce64,episode_seat
34,Iolzpo + emonga,55121805,1053.0,Mega Lopunny ex / Latias ex,3f1fae2704f11912,episode_seat
35,cm391,55086789,1070.6,Marnie's Grimmsnarl ex / Munkidori,57961e5f51c03eaf,submission_replay_index
35,junlee789,55229754,1052.6,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,episode_seat
36,Azat Akhtyamov,55016893,1064.7,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
36,Ketchum Alt,55253878,1052.5,Teal Mask Ogerpon ex,82319d40f7d61a5e,episode_seat
37,Kazama Yusuke,55148966,1064.1,Teal Mask Ogerpon ex,0dede7cb8026e473,submission_replay_index
37,junseo lee,55205180,1052.2,Cynthia's Garchomp ex / Cynthia's Roserade,daff2ed17de6145d,episode_seat
38,SQUIRTLE (prime),55090777,1063.4,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
38,213tubo,55234094,1051.6,Arboliva ex / Teal Mask Ogerpon ex,dfaa3ae90fb5eff0,episode_seat
39,서주영,55174275,1062.3,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,team_name_match
39,Hancang Mi,55254078,1050.3,Fezandipiti ex / Alakazam,cc38cb450b86770a,episode_seat
40,bono,55109061,1057.5,Team Rocket's Mewtwo ex / Team Rocket's Spidops,1439295485a33d48,submission_replay_index
