matchup,agent_a,agent_b,games,wins_a,wins_b,draws,errors_a,errors_b,illegal_a,illegal_b,first_seat_wins_a,first_seat_wins_b,moves_a,moves_b,time_a_ms,time_b_ms,decisions_a,decisions_b,policy_ok_a,policy_ok_b,policy_fallback_a,policy_fallback_b,obs_fallback_a,obs_fallback_b,deck_returns_a,deck_returns_b,fallback_rate_a,fallback_rate_b,errors_a_detail,errors_b_detail,win_rate_a_ex_draws,avg_ms_a_per_move,avg_ms_b_per_move
alakazam741_v8__vs__alakazam741_v2,alakazam741_v8,alakazam741_v2,100,50,50,0,0,0,0,0,27,27,6012,7897,2234.525397361722,2275.413102528546,6012,7897,6012,7897,0,0,0,0,0,0,0.0,0.0,{},{},0.5,0.37167754447134427,0.2881363938873681
alakazam741_v8__vs__alakazam741_v3,alakazam741_v8,alakazam741_v3,100,40,60,0,0,0,0,0,23,33,5925,6767,1981.3719994854182,2082.457502023317,5925,6767,5925,6767,0,0,0,0,0,0,0.0,0.0,{},{},0.4,0.33440877628445875,0.30773718073345896
alakazam741_v2__vs__alakazam741_v3,alakazam741_v2,alakazam741_v3,100,35,65,0,0,0,0,0,21,36,7835,6760,2171.5517991688102,2081.4770003780723,7835,6760,7835,6760,0,0,0,0,0,0,0.0,0.0,{},{},0.35,0.2771604083176529,0.3079107988724959
