turn,metric,v21,top5,field,n_v21,rank/23,pmin,pmax,p_vs_field,rho_rating,p_rho
3,take_stamp,0.194,0.166,0.156,36,17,0.027,0.236,0.4911,-0.036,0.8751
3,retreat_flag,0.306,0.192,0.188,36,23,0.13,0.277,0.0857,-0.215,0.3363
3,take_froslass_evolve,0.028,0.146,0.159,36,1,0.093,0.264,0.0339,-0.178,0.4284
3,take_petrel,0.194,0.273,0.248,36,5,0.163,0.337,0.5614,0.21,0.3492
3,take_lillie,0.444,0.323,0.354,36,21,0.285,0.444,0.2926,-0.371,0.0896
3,take_dawn,0.028,0.083,0.069,36,5,0.018,0.152,0.5109,0.312,0.1571
3,take_bench,0.667,0.58,0.566,36,22,0.378,0.678,0.2405,0.468,0.0282
3,idle,0.0,0.0,0.005,36,1,0.0,0.03,1.0,-0.556,0.0072
3,board_energy_in_play,4.028,4.457,4.504,36,5,3.414,5.722,0.1273,-0.388,0.0744
3,board_bench,4.222,4.205,4.309,36,10,4.0,4.676,0.6055,-0.446,0.0377
3,board_deck_left,31.194,30.33,30.463,36,20,28.625,32.318,0.4148,0.26,0.242
3,board_hand,4.861,4.871,4.897,36,10,4.486,5.492,0.9276,-0.156,0.487
3,main_decisions,7.611,7.3,7.355,36,21,6.987,7.889,0.579,0.213,0.3415
3,board_prize_left,5.222,5.171,5.149,36,16,4.986,5.344,0.6511,0.043,0.8495
4,take_attack,0.833,0.857,0.86,36,4,0.769,0.923,0.6283,-0.255,0.2527
4,take_shadow,0.833,0.808,0.814,36,15,0.731,0.904,1.0,-0.396,0.0682
4,supporter_flag,0.694,0.676,0.698,36,10,0.521,0.8,1.0,-0.374,0.0861
4,energy_attached_flag,0.583,0.59,0.6,36,10,0.463,0.731,0.8648,0.267,0.2295
4,take_rare_candy,0.167,0.118,0.125,36,19,0.053,0.219,0.4438,-0.073,0.7473
4,board_grim_ex_on_board,0.861,0.871,0.871,36,9,0.819,0.944,0.8029,-0.238,0.2867
4,take_gym,0.167,0.151,0.144,36,15,0.056,0.197,0.6353,0.034,0.8791
4,gym_ability,0.833,0.719,0.751,36,20,0.507,0.861,0.3312,-0.47,0.0273
4,take_adrena,0.75,0.719,0.741,36,12,0.57,0.836,1.0,-0.027,0.9067
4,take_boss,0.056,0.097,0.113,36,2,0.05,0.166,0.4229,-0.274,0.2164
4,take_poffin,0.083,0.108,0.112,36,9,0.018,0.234,0.7911,-0.053,0.8164
4,take_stamp,0.083,0.17,0.187,36,1,0.123,0.306,0.1318,-0.335,0.1277
4,retreat_flag,0.361,0.204,0.194,36,23,0.083,0.25,0.0187,0.034,0.8791
4,take_froslass_evolve,0.083,0.09,0.118,36,5,0.046,0.208,0.7925,-0.432,0.0446
4,take_petrel,0.167,0.301,0.285,36,1,0.221,0.444,0.1372,-0.042,0.8516
4,take_lillie,0.417,0.224,0.25,36,23,0.138,0.317,0.0318,-0.473,0.0263
4,take_dawn,0.056,0.054,0.05,36,14,0.0,0.107,0.7013,0.137,0.5426
4,take_bench,0.417,0.47,0.485,36,1,0.426,0.577,0.5019,0.013,0.9543
4,idle,0.0,0.0,0.001,36,1,0.0,0.031,1.0,-0.203,0.364
4,board_energy_in_play,4.611,5.219,5.219,36,4,4.25,6.267,0.0294,-0.443,0.0388
4,board_bench,4.611,4.375,4.451,36,21,4.235,4.642,0.0941,-0.479,0.024
4,board_deck_left,26.333,25.703,25.793,36,16,24.08,27.572,0.551,0.339,0.1223
4,board_hand,5.556,5.215,5.271,36,18,4.639,5.947,0.4738,-0.254,0.2549
4,main_decisions,7.611,7.052,7.339,36,19,6.691,7.781,0.4858,-0.319,0.1479
4,board_prize_left,4.306,4.314,4.23,36,16,3.759,4.53,0.7531,0.485,0.0221
